FIRST,LAST,NICKNAME,URL
Jamie,Colleen,,http://ufcstats.com/fighter-details/6b64db453edf4c50
Christian,Colombo,,http://ufcstats.com/fighter-details/9123c54d0a2b72dd
Willian,Colorado,,http://ufcstats.com/fighter-details/dfc7f0a2d91ad337
Rose,Conceicao,,http://ufcstats.com/fighter-details/a76c07e8e4c76e9a
Chris,Condo,,http://ufcstats.com/fighter-details/41e77dc504a192c6
Marcos,Conrado Jr.,,http://ufcstats.com/fighter-details/d450769115a193c2
Jeremiah,Constant,,http://ufcstats.com/fighter-details/18f5669a92e99d92
Mike,Cook,,http://ufcstats.com/fighter-details/3ab0df1ddd5f1dc2
Chad,Cook,,http://ufcstats.com/fighter-details/e6daf9cdbf0da889
TJ,Cook,,http://ufcstats.com/fighter-details/fa238ecfd048f7d8
Brett,Cooper,,http://ufcstats.com/fighter-details/88ffe9745e218dd8
Bill,Cooper,,http://ufcstats.com/fighter-details/78bd6940d093fd33
Akira,Corassani,,http://ufcstats.com/fighter-details/3f52ce18fb98008f
Muhsin,Corbbrey,,http://ufcstats.com/fighter-details/1f9344211ca7fd60
Nora,Cornolle,,http://ufcstats.com/fighter-details/f2b3f4ef3f780168
Clint,Coronel,,http://ufcstats.com/fighter-details/fe67cd6423f7a8ad
Henry,Corrales,,http://ufcstats.com/fighter-details/7cb0946d51b8cde7
Tracy,Cortez,,http://ufcstats.com/fighter-details/68d4a891e5cf2029
Reyes,Cortez Jr.,,http://ufcstats.com/fighter-details/1a7d44196949577c
Louis,Cosce,,http://ufcstats.com/fighter-details/afe8d5b39ff7fca2
Miguel,Cosio,,http://ufcstats.com/fighter-details/d150c6fbdb7687f4
Jadson,Costa,,http://ufcstats.com/fighter-details/222d6b547de2e035
JC,Cottrell,,http://ufcstats.com/fighter-details/3ec1e4ba98c9c85a
Dave,Courchaine,,http://ufcstats.com/fighter-details/79ab17db3b40831a
Ryan,Couture,,http://ufcstats.com/fighter-details/46fd223e3ced39b3
Dan,Cramer,,http://ufcstats.com/fighter-details/480b702debcb5433
Alberto,Crane,,http://ufcstats.com/fighter-details/25433871e4eee0f4
Tim,Credeur,,http://ufcstats.com/fighter-details/89b8d1bf1ff09d1d
Paul,Creighton,,http://ufcstats.com/fighter-details/ed73c85164a5f5a4
Helena,Crevar,,http://ufcstats.com/fighter-details/a8c3ce469cb8b130
Alexander,Crispim,,http://ufcstats.com/fighter-details/15dedd05f8bcb475
Alex,Crispin,,http://ufcstats.com/fighter-details/8944a0f9b2f0ce6d
Jeff,Crotty,,http://ufcstats.com/fighter-details/98601a40e9d96047
Jimmy,Crute,,http://ufcstats.com/fighter-details/70e1f8a821b72c8b
Aalon,Cruz,,http://ufcstats.com/fighter-details/003d82fa384ca1d0
Jay,Cucciniello,,http://ufcstats.com/fighter-details/683ea28a198936fe
Chris,Culley,,http://ufcstats.com/fighter-details/e59b13321562eed3
Zak,Cummings,,http://ufcstats.com/fighter-details/4ba8d454f762005d
Everett,Cummings,,http://ufcstats.com/fighter-details/05e4be525cb3578c
Luke,Cummo,,http://ufcstats.com/fighter-details/93ce4ac89e3d7652
