EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
UFC 11: The Proving Ground ,Jerry Bohlander  vs. Fabio Gurgel ,W/L,Open Weight Bout,Decision - Unanimous ,1,15:00,1 Rnd (15),John McCarthy,,http://ufcstats.com/fight-details/a5200c9bac3c420b
UFC 10: The Tournament ,Sam Adkins  vs. Felix Lee Mitchell ,W/L,Open Weight Bout,Decision - Unanimous ,2,3:00,1 Rnd + OT (12-3),John McCarthy,,http://ufcstats.com/fight-details/f59b1215176636f6
UFC 9: Motor City Madness ,Dan Severn  vs. Ken Shamrock ,W/L,UFC Superfight Championship Bout,Decision - Split ,3,3:00,1 Rnd + 2OT (24-3-3),John McCarthy,,http://ufcstats.com/fight-details/6a060498e60756af
UFC 8: David vs Goliath ,Paul Varelans  vs. Joe Moreira ,W/L,Open Weight Bout,Decision - Unanimous ,1,10:00,1 Rnd (10),John McCarthy,,http://ufcstats.com/fight-details/16cb0064575e2b0b
UFC - Ultimate Ultimate '95 ,Dan Severn  vs. Oleg Taktarov ,W/L,Ultimate Ultimate '95 Tournament Title Bout,Decision - Unanimous ,2,3:00,1 Rnd + OT (27-3),John McCarthy,,http://ufcstats.com/fight-details/524b49a676498c6d
UFC - Ultimate Ultimate '95 ,Oleg Taktarov  vs. Marco Ruas ,W/L,Open Weight Bout,Decision - Unanimous ,1,18:00,1 Rnd (18),John McCarthy,,http://ufcstats.com/fight-details/717f3c3932279196
UFC - Ultimate Ultimate '95 ,Dan Severn  vs. David Abbott ,W/L,Open Weight Bout,Decision - Unanimous ,1,18:00,1 Rnd (18),John McCarthy,,http://ufcstats.com/fight-details/0d872527bbb3cd40
UFC - Ultimate Ultimate '95 ,Mark Hall  vs. Trent Jenkins ,W/L,Open Weight Bout,Submission ,1,5:29,1 Rnd (15),John McCarthy,,http://ufcstats.com/fight-details/7ffcc3a72e082ace
UFC 7: The Brawl in Buffalo ,Joel Sutton  vs. Geza Kalman ,W/L,Open Weight Bout,TKO - Doctor's Stoppage ,1,0:48,1 Rnd (20),John McCarthy,,http://ufcstats.com/fight-details/4b334c9727eee450
UFC - Ultimate Brazil ,Pat Miletich  vs. Mikey Burnett ,W/L,UFC Welterweight Title Bout,Decision - Split ,3,3:00,1 Rnd + 2OT (15-3-3),John McCarthy,,http://ufcstats.com/fight-details/07423d10cc23bfeb
UFC - Ultimate Brazil ,Tsuyoshi Kohsaka  vs. Pete Williams ,W/L,Heavyweight Bout,Decision - Unanimous ,2,3:00,1 Rnd + OT (12-3),John McCarthy,,http://ufcstats.com/fight-details/dbdad3eb157703bc
