FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,UFC_URL,MMADECISIONS_URL
Chris Holdsworth,"71.00""",135.00 lbs.,"71.00""",,,http://ufcstats.com/fighter-details/ee0b69e307c857e5,
Roger Hollett,"71.00""",204.00 lbs.,,,,,
Rex Holman,"74.00""",205.00 lbs.,,,,,
Mark Holst,"72.00""",155.00 lbs.,,,,,
Satoshi Honma,"0.00""",0.00 lbs.,,,,,
David Hood,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/b361180739bed4b0,
Moti Horenstein,"0.00""",0.00 lbs.,,,,,
Jamey-Lyn Horth,"67.00""",126.00 lbs.,"66.00""",,,,
Matt Horwich,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/8738eacd62e82a32,
Saeed Hosseini,"0.00""",0.00 lbs.,,,,,
Brian Houston,"74.00""",185.00 lbs.,"78.00""",,,http://ufcstats.com/fighter-details/0541480fbf719d86,
Harold Howard,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/040a74bb0a465c54,
Shane Howell,"68.00""",125.00 lbs.,"69.00""",,,http://ufcstats.com/fighter-details/1ffc38f67785797b,
Mark Hughes,"68.00""",184.00 lbs.,,,,,
Alex Hunter,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/1562b12763cc8d67,
Solomon Hutcherson,"71.00""",186.00 lbs.,,,,,
Minoki Ichihara,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/269d103c96a4c3a5,
Valeri Ignatov,"70.00""",0.00 lbs.,,,,,
Fabiano Iha,"68.00""",154.00 lbs.,,,,,
Brad Imes,"79.00""",261.00 lbs.,,,,,
Chris Indich,"70.00""",170.00 lbs.,,,,http://ufcstats.com/fighter-details/ee0b69e307c857e5,
Guto Inocente,"75.00""",205.00 lbs.,"77.00""",,,,
Enson Inoue,"0.00""",0.00 lbs.,,,,,
Wallid Ismail,"70.00""",0.00 lbs.,,,,,
Yoislandy Izquierdo,"71.00""",156.00 lbs.,,,,http://ufcstats.com/fighter-details/9199e0735b83dd32,
Kevin Jackson,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/cf946e03ba2e7666,
Eugene Jackson,"68.00""",185.00 lbs.,,,,,
Jeremy Jackson,"69.00""",170.00 lbs.,,,,,
Mike Jackson,"74.00""",170.00 lbs.,"74.00""",,,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,
Justin James,"70.00""",155.00 lbs.,,,,http://ufcstats.com/fighter-details/bf0e700106d00e55,
Brock Jardine,"71.00""",170.00 lbs.,,,,,
Trent Jenkins,"74.00""",185.00 lbs.,,,,,
Steve Jennum,"0.00""",0.00 lbs.,,,,,
Chan-Mi Jeon,,,,,,,
Maciej Jewtuszko,"72.00""",155.00 lbs.,,,,,
Ronald Jhun,"71.00""",170.00 lbs.,,,,,
Phil Johns,"62.00""",158.00 lbs.,,,,http://ufcstats.com/fighter-details/989b85f6540c86b1,
Dashon Johnson,"67.00""",146.00 lbs.,"70.00""",,,http://ufcstats.com/fighter-details/989b85f6540c86b1,
Brian Johnston,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/989b85f6540c86b1,
Paul Jones,"0.00""",0.00 lbs.,,,,,
Marcus Jones,"78.00""",262.00 lbs.,,,,http://ufcstats.com/fighter-details/04643fd03d9159cc,
Justin Jones,"0.00""",185.50 lbs.,,,,http://ufcstats.com/fighter-details/bf0e700106d00e55,
Kevin Jordan,"74.00""",247.00 lbs.,,,,http://ufcstats.com/fighter-details/cf946e03ba2e7666,
Joe Jordan,"66.00""",164.00 lbs.,,,,http://ufcstats.com/fighter-details/e4ba58725825412d,
Jeff Joslin,"72.00""",170.00 lbs.,,,,,
Steve Judson,"0.00""",0.00 lbs.,,,,,
Scott Junk,"73.00""",258.00 lbs.,,,,http://ufcstats.com/fighter-details/2620f3eb21c79614,
Emily Kagan,,,,,,,
Sirwan Kakai,"66.00""",136.00 lbs.,"66.00""",,,http://ufcstats.com/fighter-details/d33da8a3d82bdb62,
Geza Kalman,,,,,,http://ufcstats.com/fighter-details/c11036da9162cb5f,
David Kaplan,,,,,,http://ufcstats.com/fighter-details/b361180739bed4b0,
Yusuke Kasuya,"67.00""",156.00 lbs.,"67.00""",,,http://ufcstats.com/fighter-details/8d3273573b85be09,
Julie Kedzie,"65.00""",135.00 lbs.,"64.00""",,,,
CJ Keith,"72.00""",156.00 lbs.,,,,,
Steve Kennedy,,,,,,,
Mark Kerr,"72.00""",250.00 lbs.,,,,,
Sanae Kikuta,,,,,,,
Mike King,"75.00""",185.00 lbs.,"75.00""",,,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,
Koji Kitao,"0.00""",0.00 lbs.,,,,,
Brad Kohler,"0.00""",0.00 lbs.,,,,,
Tsuyoshi Kohsaka,,,,,,,
John Kolosci,"71.00""",170.00 lbs.,,,,http://ufcstats.com/fighter-details/989b85f6540c86b1,
Yuki Kondo,"71.00""",201.00 lbs.,,,,,
Pascal Krauss,"73.00""",170.00 lbs.,"72.00""",,,,
Keigo Kunihara,"72.00""",228.00 lbs.,,,,http://ufcstats.com/fighter-details/269d103c96a4c3a5,
Leo Kuntz,"70.00""",156.00 lbs.,"74.00""",,,,
Tina Lahdemaki,"62.00""",115.00 lbs.,"62.00""",,,,
Tim Lajcik,"73.00""",225.00 lbs.,,,,,
Austen Lane,"78.00""",251.00 lbs.,"80.00""",,,http://ufcstats.com/fighter-details/bf0e700106d00e55,
Anthony Lapsley,"69.00""",171.00 lbs.,"71.00""",,,http://ufcstats.com/fighter-details/a77633a989013265,
Icho Larenas,"75.00""",233.00 lbs.,,,,http://ufcstats.com/fighter-details/9c9455912d917e4e,
Sione Latu,"0.00""",0.00 lbs.,,,,,
Dan Lauzon,"70.00""",155.00 lbs.,,,,http://ufcstats.com/fighter-details/e4ba58725825412d,
James Lee,"71.00""",206.00 lbs.,,,,,
David Lee,"70.00""",155.00 lbs.,,,,http://ufcstats.com/fighter-details/b361180739bed4b0,
Jackie Lee,"0.00""",0.00 lbs.,,,,,
Rocky Lee,"69.00""",145.00 lbs.,,,,,
Christophe Leninger,,,,,,http://ufcstats.com/fighter-details/ee0b69e307c857e5,
Alberta Cerra Leon,,,,,,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,
Kimo Leopoldo,"73.00""",244.00 lbs.,,,,,
Frank Lester,"71.00""",170.00 lbs.,,,,,
Justin Levens,,,,,,http://ufcstats.com/fighter-details/bf0e700106d00e55,
